ra,dec,sp_type,flux
49.44234772895417,-62.575320126845554,"G2.5VHdel1",5.54
78.43939878111,-67.185258274,"K2+III",4.801
109.20759145422502,-67.95715267864945,"F8Ib/II",3.99
95.65948232394,-69.98404457966,"K5III",5.542
92.18442410118668,-68.8434117732975,"B8V",5.038
133.45273747942,-60.353908505860005,"B4V",5.768
145.25920123857,-57.25951726987,"K0/1III",5.794
138.23179552721,-59.41392900649999,"G5III",5.532
124.57836195036,-65.61319220956,"K1III",5.056
129.32847167108,-62.85346472059,"K0III",5.456
153.34518391888,-51.23296958441001,"F0IV",5.265
145.92597708829,-53.89128179928999,"A0IV",5.544
157.98931887604,-45.066717792030005,"B8/A0",5.668
155.06964818808,-47.69909049989,"K5/M0III",5.614
158.14003976175,-44.61850559128,"G6/8III",5.903
59.68645392653709,-61.40018563363832,"M1.5III",4.57
45.90341158317,-59.737774591039994,"F0III/IV",5.122
152.23433169975752,-51.81126175603361,"B3III/IV",4.845
28.411413800361665,-46.3026692717061,"M4III",4.41
34.12744204857083,-51.512165163000276,"B8IV",3.57
29.29199839228,-47.38527975927,"G6III-IIIb",4.834
63.60612501835416,-62.47380348899389,"G8IIIa:",3.36
92.81242353741,-65.58941802255,"M2.5III",5.01
120.08319077859417,-63.567454832875555,"B4V",4.806
86.19320831979958,-65.73549809975806,"A7V",4.36
139.05030238076836,-57.54147113833555,"M0.5IIIa",4.318
138.57496040729,-55.56962984123,"G8II/III",5.254
148.45874551524,-51.14670998085,"B2.5III",5.932
30.426568120110005,-44.71350731516,"K5IV",5.14
39.351452616639996,-52.54310890289,"A6V",5.293
28.591799646709998,-42.49692837251,"A3V",5.109
153.88149553358,-43.11236982537,"K4III",5.561
68.39145558017,-62.82367692086999,"K1III",5.78
76.89177858747,-63.39967982294,"M3III",5.205
66.94178688985,-62.521203131469996,"K0III",5.735
66.27223723592,-61.23819205574999,"K4/5III",5.922
60.325629197820824,-61.078822923806115,"K4III",4.956
83.24819047703375,-64.22751491597833,"G8/K0III",5.341
48.1381662957,-57.321549230420004,"C-N5IIIb:",5.71
91.76419462242,-62.15456934428,"K2/3III",5.041
128.83210465488,-58.00923685542,"K0III",4.847
128.81481369363,-58.22473898685,"B4V",5.234
133.26574583853,-56.64948542658,"A0V",5.998
133.79909126667,-54.965768891690004,"F6V",5.698
32.28871817932,-43.5165952422,"K1III",5.83
139.52446340326,-51.050856636819994,"B7/8III",5.254
152.65716045836,-41.715247474600005,"K2/3III",5.965
29.911729425470003,-42.03053235933,"K1III",5.563
36.74634213164126,-47.70384065879168,"B7IV",4.25
147.91945129249,-46.54762225029,"G6IIa",4.58
153.68398203349875,-42.12194134188417,"A2Va",3.85
147.67471927522,-46.93391902037,"K0IIICNIb",5.711
147.8321870565,-46.193821214779994,"K2III",5.617
96.05767657207,-60.28132294182,"A0V",5.766
81.58027405503,-58.912517783359995,"G8III",5.129
147.48808582139,-45.73273690546,"B7III",5.084
71.08824306385,-59.732737862689994,"A8/9III/IV",5.282
130.57913185620794,-53.10005688063944,"B9III(pSi)",5.474
134.08026256965,-52.72347411847999,"B5/6IV",4.723
122.39010551879,-56.0853522824,"A3mA5-A9",5.648
53.14501021099,-50.37864530624,"K2III",5.658
118.12392349220002,-54.3671635775,"B2IV",5.68
88.08417257752,-57.15618929319,"F7IV",5.948
120.20807663011,-54.15127403756,"B5Vn",5.846
96.76723653068,-58.00211859201,"K3III",5.816
126.90244149061,-53.08847875598,"A9/F0III/IV",5.073
97.36874223280002,-56.85276685523,"K0III",5.197
